"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Central Europe and the Baltics","CEB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1975005014239","36.8693999321765","37.1996147418919","33.8621386535723","33.6748358859701","32.9531021261294","32.5497846669974","32.5826613976814","33.181533006493","33.1942780047393","31.6713649266518","35.8306299523448","35.4902479434926","34.834835885831","35.4516198423195","37.9711621686618","37.7673222623195","36.8710102693116","36.561265665141","37.0209262319803","36.4423707605181","35.88386339018","35.615363696585","","",
"Switzerland","CHE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","17.1540523707307","16.4746894275931","17.2304450732027","17.6585707609901","17.7469622079603","","","","","","14.2419463339028","15.2793473361171","16.6174010369714","17.8026629033154","17.8918996134967","17.822889115327","18.5377863266856","18.7281437478084","18.7211973055844","19.427873514349","18.7205118205603","17.7427177611531","19.7276355025595","18.5691028133211","18.3870059907927","18.0111275909481","17.0944416587326","16.4993388443827","15.9548059522085","17.0577797338846","16.9243876779258","16.8020285556295","16.7714594249205","16.9821592948041","16.8680071580802","17.1611226508458","17.4467814928423","17.4107840488182","",
"Channel Islands","CHI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","32.4465422936623","26.5455239559666","24.0386426487812","27.7086862739494","25.666460222327","27.2109997708235","26.9594755853555","24.1335835220153","24.2089658591635","25.4523928844232","30.7288709072223","29.0682516758894","29.7165246987441","25.7384403629365","24.0379731474228","21.0900585059265","19.2505883112137","17.709361941282","16.8206083009277","17.1281093901954","16.5937367512206","16.5982582388316","15.9816395623987","15.1241569227677","15.8463017596723","16.009994242811","17.3146350800166","18.8191347290839","20.2392826515555","20.2089097162334","20.2534198077352","19.5575561729098","18.1842383191621","17.4527129982861","16.1171595587185","16.3162825718096","18.5615646413412","21.4105884815161","20.5034467032784","19.9142467070088","20.2641879515902","20.356447878731","20.9003043751756","21.6438045222586","22.2013519159478","22.4150112049615","",
"China","CHN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0306409374643","16.2283585482301","16.4252218844375","8.52763623992999","","",
"Cote d'Ivoire","CIV","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4463683567881","13.2187234513297","14.2948642578035","14.3285773418437","14.8062169910301","13.8387702156059","15.0522629214744","15.4396554584976","14.5676276878789","14.9026473049333","13.8745781453017","15.342044057325","13.5782903255191","12.7293037156686","18.5980561185669","18.3651130717028","","",
"Cameroon","CMR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9290171114705","16.7413333333333","16.094670433145","17.0584274393264","4.32972721766042","5.23936877336211","5.58659044284596","5.67087507088594","8.87863751267418","9.52071227385392","2.04576770561336","5.64916739364025","7.48177282526455","7.69888096756401","10.2629800534639","13.1164039621309","14.4279622588558","12.7368992221786","12.3520263431139","11.3052304770398","8.36974479454955","","","","","","","","",
"Congo, Rep.","COG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8274085522926","35.0480199973688","33.9183191498025","29.8238969892066","24.8365007309379","34.2701187578373","38.1010346926354","26.6611467605051","","23.6499894002832","28.0415425098104","20.2484185670834","30.7945743804056","24.7909559613791","20.2288873497254","21.166529356163","16.2650839492638","16.0604220323594","13.3867094698084","12.6469466820774","15.5477245868439","","","","","","",
"Colombia","COL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3166066677647","22.1201943516985","16.9331428734368","","","27.622281719396","","","","","24.616793144424","24.7198290039544","25.4451813984976","24.2602192117168","25.0564199532674","33.3069422040629","31.0339037544747","27.5261000208776","29.9174060749389","","",
"Comoros","COM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.242720873769","29.609811596401","24.8295177921221","22.9336869711538","22.715189457667","","","22.2235083246304","","","","","","",
"Costa Rica","CRI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","15.5475083095774","15.0578479767084","16.3050594260206","16.3477722532841","16.1408548982909","20.5339492502451","21.2812709554376","21.5913340673807","18.0902127387128","16.6247715415639","20.9722071856102","20.0232009025163","19.5079016854302","24.2558884707678","25.5611467757388","23.2142019792831","24.3595664537191","24.2498822315247","18.488080618995","17.8555621496406","19.4559641494269","23.1213260468992","21.6631639527131","22.6078336184059","21.5011459385038","21.1651876466205","22.2160265052457","22.1286224027275","22.8485046087064","24.705226332122","23.7259560164243","22.6246337645283","22.7512392474536","21.7090500726257","21.2721568194509","21.8025914871822","24.8934436108429","25.8816644617333","25.678719499795","26.3681462384679","27.1598702585721","27.4963355152868","29.4233449364172","27.9489217330143","","",
"Caribbean small states","CSS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6714487289164","23.7700092779845","23.1757181830063","23.1013225115964","22.5639907611514","25.150881687038","23.3420221161333","24.8602483783823","29.3277309019327","26.5901298491497","25.2288285769729","26.3680049379226","26.8169448166374","27.5916276409353","29.9983983344295","","","",
"Cuba","CUB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","30.2140057477228","25.8820015641889","23.3443620610117","23.7433374485356","22.500793647279","24.510061362583","25.7294514126567","26.7528542007549","30.5427986773838","26.6561970509267","27.2001064053983","25.2695363248754","27.3733296128535","27.7027900454485","27.4752965005069","50.4016366456296","51.9479482041439","50.6985863799203","50.1847870688582","50.9739548168824","45.9620890658698","47.9209226868837","50.3003952155436","53.8486552163672","53.0705208296282","53.7400112434565","55.2184240913741","57.6393899082762","63.1882281151887","60.6955962345736","62.8049480357242","61.8288694978126","60.3898549488607","61.609214782683","38.6595357171354","38.5248122879804","39.4638279497521","40.0328993951683","41.3257855769056","47.1210075195997","38.7517877247969","36.07045894582","","",
"Czech Republic","CZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.187212554897","30.6727202760068","47.6307118989793","38.014465925552","35.7405965615388","36.6125618422383","35.4901430019483","34.2021263406255","37.3074657293963","37.5908584435518","38.857208735325","35.1828474251284","33.8335787188152","32.877011430774","32.6351254401884","32.2268711371961","35.2578573883787","35.2184146026311","35.1625718468276","36.8071278392241","35.0831403997142","34.680161686165","33.4067121968117","32.9438913610043","","",
"Germany","DEU","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","20.2451425486329","20.6640515527441","22.2783016786358","24.5751452011994","24.7354450705655","24.8111263001641","24.8004287189228","24.3446380450108","25.4809535025699","26.2702389772785","26.512415698961","26.0914939623213","26.2962508325889","25.863433609418","25.4416263163614","25.8547623436741","25.6427735292641","24.6505937724218","24.7794420187053","31.2036966704646","31.4311752353538","31.8490177575706","31.8807402105677","38.248283198517","32.3666369035259","31.7971724730439","31.658383831377","31.5385397698656","31.1898529634109","30.6428882721288","31.0132667055932","31.4569294800187","30.280319912623","30.3238354354459","29.0928653504648","27.8477497085424","28.105584485545","30.8550652771229","31.1169120097982","28.7230681582764","28.3042932863472","28.5121928781703","28.1498531954291","27.9091551262465","27.8575086274073","","",
"Djibouti","DJI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5562737819953","25.9320712550611","23.0651147642301","24.9638918987963","23.5012269052535","24.1487268740353","23.1760179653051","23.5472018119128","23.9024147743922","21.8439869058759","23.7632680802195","24.2575378703064","24.1013413818347","25.9930371735229","24.5982318004024","","","","",
